Employee_id,First_Name,Last_Name,Age,Gender,Date_of_Birth,Date_Joined,Date_Resigned,Department,Salary,Performance_level
54,David,Fitzpatrick,65,Female,1959-11-16,2021-11-08,2025-09-04,Marketing,182878,Below
55,Brandon,Macdonald,43,Male,1981-10-31,2023-06-19,2026-07-01,Operations,176106,Needs Improvement
56,Joseph,Thompson,47,Female,1977-06-14,2023-02-08,2025-07-11,Sales,149314,Outstanding
57,Victoria,Matthew,39,Female,1985-03-06,2020-06-22,2028-01-04,Operations,51645,Meets
58,James,Martinez,41,Male,1983-10-23,2023-08-29,2027-01-04,Finance,128529,Below
59,Andrew,Gonzalez,25,Female,1999-08-23,2023-03-30,2028-04-03,Marketing,43072,Meets
60,Leon,Horton,22,Female,2002-11-05,2020-07-17,2025-11-05,IT,100105,Meets
61,Jesus,Wood,36,Male,1988-02-28,2021-01-06,2025-03-11,IT,86347,Exceeds
62,Wendy,Ramirez,21,Male,2003-04-18,2020-11-15,2025-12-02,Sales,15392,Exceeds
63,Nicholas,Tucker,25,Female,1999-03-15,2023-05-08,2026-11-10,HR,158867,Outstanding
64,Wayne,Carter,50,Male,1974-10-11,2023-05-17,2027-05-03,Sales,11208,Outstanding
65,Allen,Lowe,24,Female,2000-02-15,2022-05-10,2025-03-12,Sales,154959,Meets
66,Susan,Yates,44,Male,1980-07-08,2022-09-28,2025-01-01,Customer Service,185711,Outstanding
67,Laura,Anderson,59,Female,1965-01-26,2024-12-30,2027-02-03,Customer Service,153211,Needs Improvement
68,Lauren,Morse,60,Female,1964-08-10,2021-04-03,2028-02-03,IT,76549,Needs Improvement
69,Jennifer,Monroe,62,Female,1962-01-18,2022-05-26,2026-02-04,HR,142506,Below
70,Smith,Wall,58,Female,1966-04-27,2022-09-18,2025-04-11,HR,45759,Needs Improvement
71,Scott,Dixon,32,Male,1992-01-27,2022-03-29,2025-02-12,Marketing,163754,Below
72,Jacob,Smith,60,Female,1964-12-06,2020-02-29,2027-02-07,IT,113284,Meets
73,Holly,Dillon,33,Male,1991-04-23,2021-05-06,2028-05-08,Customer Service,76383,Below
74,Nicole,Fields,31,Male,1993-05-18,2020-05-21,2028-11-04,Operations,168383,Outstanding
75,Walker,Moore,60,Female,1964-11-19,2017-12-25,2028-10-10,Operations,85231,Meets
76,Emily,Rogers,26,Female,1998-01-29,2022-06-29,2028-10-01,Finance,158291,Meets
77,Omar,Hill,36,Female,1988-07-19,2022-08-14,2026-01-05,HR,93720,Exceeds
78,Chloe,Campbell,23,Male,2001-01-24,2022-05-20,2026-10-01,Engineering,97394,Outstanding
79,Brian,Flores,68,Female,1956-03-12,2022-12-28,2028-02-01,Marketing,15598,Needs Improvement
80,Sarah,Myers,58,Female,1966-05-05,2022-01-27,2026-08-08,Customer Service,107390,Needs Improvement
81,William,Faulkner,42,Female,1982-09-03,2020-02-27,2027-02-02,Operations,196950,Exceeds
82,Glenn,Farrell,55,Female,1969-03-05,2022-03-30,2026-02-02,IT,70469,Below
83,Amy,Bailey,62,Female,1962-03-13,2022-07-10,2026-05-02,IT,117694,Below
84,Brenda,Owen,47,Female,1977-02-27,2022-02-03,2027-09-12,Operations,93996,Below
85,Paige,Bradford,54,Male,1970-01-11,2021-02-10,2028-05-09,HR,42235,Needs Improvement
86,Kirk,Duncan,36,Female,1988-06-16,2020-04-04,2027-02-09,Marketing,96580,Below
87,Jordan,Mejia,42,Female,1982-07-07,2021-01-09,2025-01-04,Sales,57559,Meets
88,Jonathan,Patel,69,Male,1955-06-07,2018-03-23,2028-09-10,IT,188021,Exceeds
89,Beverly,Hall,19,Male,2005-08-18,2017-03-28,2025-01-03,IT,125303,Needs Improvement
90,Joel,Martin,64,Male,1960-09-23,2021-04-12,2026-08-12,HR,189355,Below
91,Vincent,Buckley,55,Female,1969-06-26,2020-06-06,2026-08-11,HR,33454,Meets
92,Harris ,Ray,34,Female,1990-02-12,2023-06-02,2027-09-05,Finance,134956,Exceeds
93,Patricia,Hansen,50,Male,1974-08-24,2019-08-09,2026-06-21,Engineering,146587,Outstanding
94,Daniel,Miller,46,Male,1978-05-27,2021-01-05,2027-09-09,Sales,85489,Below
95,Brenda,Carroll,37,Male,1987-04-11,2023-09-05,2026-02-02,Marketing,133977,Meets
96,Katie,Luna,60,Male,1964-06-09,2022-08-02,2027-02-01,HR,59966,Outstanding
97,Joshua,Powell,26,Female,1998-03-30,2022-02-07,2026-02-11,Engineering,164157,Outstanding
98,Priscilla,Simmons,32,Male,1992-04-07,2020-07-04,2026-02-08,HR,100023,Exceeds
99,Elizabeth,Peters,32,Female,1992-12-29,2020-09-02,2027-10-07,Sales,78168,Outstanding
100,Courtney,Robert,36,Female,1988-01-29,2020-09-05,2026-02-07,Engineering,173198,Meets
101,Tyler,Eaton,62,Female,1962-04-18,2021-09-02,2027-08-06,Marketing,193607,Meets
102,Edward,Lee,37,Female,1987-12-19,2020-06-03,2027-01-02,IT,159161,Outstanding
103,David,Rodriguez,63,Female,1961-01-20,2022-06-12,2027-02-02,Operations,173347,Outstanding
104,Joshua,Hughes,32,Female,1992-05-28,2022-03-12,2025-02-07,Engineering,83868,Below
105,Samantha,Austin,35,Female,1989-11-23,2023-06-08,2025-05-10,Sales,34503,Outstanding
106,Robert,Jones,38,Male,1986-11-15,2017-01-10,2025-03-06,Finance,32505,Below
107,Andrew,Brewer,19,Female,2005-02-24,2023-02-08,2027-03-08,Sales,145604,Below
108,Eric,Ramos,48,Male,1976-04-22,2023-01-06,2027-03-03,HR,13391,Outstanding
109,Alexandra,Everett,68,Female,1956-09-12,2023-08-12,2026-02-09,HR,119092,Below
110,Alisha,Meyer,67,Male,1957-01-01,2023-05-02,2027-02-04,Customer Service,136737,Needs Improvement
111,Jessica,William,35,Male,1989-12-03,2021-03-05,2027-07-01,HR,132756,Below
112,Derek,Phillips,65,Male,1959-09-16,2023-01-12,2027-12-04,IT,82343,Meets
113,William,Greene,22,Male,2002-12-15,2023-03-05,2025-07-06,HR,172333,Needs Improvement
114,Crystal,Garner,45,Female,1979-08-07,2023-02-10,2028-08-03,Engineering,142775,Needs Improvement
115,Benjamin,Hull,55,Female,1969-08-22,2018-03-05,2028-10-01,Engineering,50342,Below
116,Matthew,Mclaughlin,22,Female,2002-09-17,2022-01-05,2027-05-10,Engineering,15391,Meets
117,Kimberly,George,36,Female,1988-02-29,2020-02-07,2027-09-08,Marketing,4115,Exceeds
118,Jenna,Goodman,24,Male,2000-10-21,2021-02-05,2027-05-04,Engineering,139673,Exceeds
119,Cooke,Navarro,65,Male,1959-11-04,2020-03-09,2027-01-12,Engineering,191211,Below
120,Julie,Garcia,66,Male,1958-06-03,2019-01-08,2028-06-06,Engineering,30497,Outstanding
121,Angela,Franklin,63,Female,1961-01-03,2020-02-10,2026-12-12,HR,55162,Meets
122,Dennis,Bates,39,Male,1987-01-26,2020-06-12,2027-06-08,Customer Service,55530,Meets
123,Cheryl,Snyder,37,Male,1987-03-22,2022-07-07,2027-04-01,HR,106163,Meets
124,John,Le,25,Male,1999-03-21,2022-08-12,2027-07-03,Customer Service,134082,Outstanding
125,Lori,Payne,43,Male,1981-01-19,2023-01-11,2026-10-04,Customer Service,181284,Meets
126,Robert,Hill,39,Male,1985-10-21,2023-04-04,2027-01-10,Engineering,35391,Needs Improvement
127,Joseph,Gray,44,Male,1980-01-13,2022-11-08,2027-01-10,HR,15797,Needs Improvement
128,Christopher,Rodriguez,57,Female,1967-01-01,2022-06-08,2025-02-08,Sales,146998,Exceeds
129,Jonathan,Marsh,25,Male,1999-02-09,2017-06-06,2027-08-25,Customer Service,110640,Needs Improvement
130,Cory,Parker,34,Male,1990-10-16,2020-04-08,2027-02-01,Sales,5294,Below
131,Lauren,Smith,43,Male,1981-10-20,2022-08-12,2027-04-07,IT,101301,Outstanding
132,Anthony,Harris,31,Female,1993-12-18,2022-05-01,2025-09-09,Sales,4859,Outstanding
133,Veronica,Hernandez,64,Male,1960-01-07,2020-03-10,2025-01-18,Customer Service,145949,Below
134,Thomas,Woods,42,Male,1982-03-31,2023-02-11,2027-09-06,Sales,168216,Meets
135,Jermaine,Armstrong,22,Male,2002-12-05,2021-02-11,2028-02-06,Sales,118315,Outstanding
136,Clifford,Salas,59,Male,1965-04-03,2019-02-03,2027-09-11,Marketing,56726,Needs Improvement
137,Heather,Simpson,28,Male,1996-03-25,2023-06-09,2025-01-12,IT,163734,Below
138,Tyler,Torres,35,Male,1989-05-04,2018-03-11,2027-10-10,Engineering,135671,Needs Improvement
139,Kyle,Schwartz,43,Female,1962-06-23,2020-09-03,2027-05-08,HR,96679,Meets
140,Jamie,Lopez,62,Male,1962-01-29,2022-04-11,2027-06-01,Customer Service,161070,Below
141,Jennifer,Thomas,59,Male,1965-08-30,2023-06-09,2027-09-08,Customer Service,140378,Exceeds
142,Madison,Bowman,27,Female,1997-06-25,2021-09-12,2027-03-04,Engineering,171091,Exceeds
143,Cameron,Lang,69,Female,1955-03-16,2022-03-07,2025-02-10,Engineering,122905,Needs Improvement
144,Samuel,Lawson,31,Male,1993-11-25,2021-04-09,2027-02-12,IT,33945,Below
145,Pamela,Cox,35,Female,1989-07-19,2020-02-12,2027-02-06,Customer Service,141088,Meets
146,Burke,Harris,54,Male,1970-06-11,2023-03-10,2027-01-09,IT,50968,Needs Improvement
147,Lynn,Juan,63,Male,1961-05-23,2020-01-07,2027-11-08,Sales,120451,Meets
148,Laura,Ray,24,Male,2000-12-19,2023-02-03,2025-10-06,HR,146611,Exceeds
149,Bonnie,Cox,36,Female,1988-11-28,2022-01-04,2025-05-08,Finance,59497,Outstanding
150,Shannon,Fleming,53,Male,1971-01-27,2020-05-07,2027-05-10,Customer Service,116602,Needs Improvement
151,Kimberly,Miller,67,Male,1957-09-28,2022-05-02,2025-05-04,Customer Service,3106,Exceeds
152,Victoria,Clark,55,Male,1969-12-12,2021-01-02,2025-06-09,Finance,171935,Below
153,Laura,Rodriguez,65,Male,1959-12-11,2020-02-04,2026-01-09,IT,44009,Exceeds
154,Charles,Mclaughlin,20,Male,2004-04-10,2018-07-02,2027-08-12,Engineering,154149,Meets
155,Gabrielle,Velazquez,35,Male,1989-05-04,2021-12-04,2027-06-12,HR,4168,Needs Improvement
156,Herbert,Carey,61,Female,1963-06-27,2020-09-10,2025-02-01,Sales,112275,Exceeds
157,Eric,Garcia,48,Female,1976-03-01,2022-02-20,2025-01-12,Sales,127486,Exceeds
158,Henry,Abbott,26,Female,1998-08-23,2021-02-12,2027-04-07,Engineering,8973,Exceeds
159,Jessica,Davis,21,Female,2003-07-02,2020-02-01,2027-09-01,IT,82126,Needs Improvement
160,Jenkins,Ward,55,Male,1969-07-28,2023-06-09,2027-02-01,Finance,150315,Exceeds
161,Amy,Butler,25,Male,1999-03-04,2020-08-07,2026-02-10,IT,179160,Needs Improvement
162,Linda,Allen,66,Male,1958-03-07,2022-03-08,2025-02-09,IT,189649,Below
163,Benjamin,Miller,49,Female,1975-06-23,2020-05-04,2026-11-12,Sales,53455,Outstanding
164,Daniel,Nguyen,48,Female,1976-06-18,2021-09-05,2025-01-05,Finance,11340,Needs Improvement
165,William,Ruiz,69,Female,1955-10-15,2020-09-02,2027-06-08,Operations,111282,Below
166,Lori,Esparza,20,Female,2004-12-04,2020-02-06,2026-02-01,Sales,71233,Meets
167,Joseph,Dyer,44,Female,1980-02-03,2021-03-08,2027-06-08,Sales,141353,Meets
168,Helen,Randall,70,Male,1954-10-31,2022-07-09,2027-03-07,HR,181353,Meets
169,Taylor ,White,70,Male,1954-02-26,2020-03-09,2025-02-10,IT,158441,Below
170,Jennifer,Knight,28,Female,1996-03-24,2020-08-07,2026-01-09,Finance,179272,Outstanding
171,Deborah,Saunders,53,Male,1971-09-17,2022-03-03,2025-08-09,Customer Service,78888,Below
172,Jones,Lopez,52,Male,1972-01-11,2022-05-10,2025-12-02,Sales,75750,Meets
173,Nina,Brown,36,Female,1988-03-07,2021-08-09,2027-01-11,Sales,62935,Exceeds
174,James,Johnson,21,Female,2003-05-14,2020-06-07,2025-05-07,HR,98545,Outstanding
175,Teresa,Lin,19,Male,2005-06-03,2022-04-11,2026-07-05,HR,141226,Exceeds
176,Powell,Little,23,Male,2001-01-21,2022-06-01,2028-02-12,HR,123133,Needs Improvement
177,Andrew,Barker,53,Male,1971-09-27,2021-12-01,2028-07-08,Operations,87399,Outstanding
178,Margaret,Wang,39,Female,1985-07-28,2023-02-12,2028-07-06,Engineering,57686,Below
179,Cody,Kirk,29,Male,1995-01-24,2020-07-10,2025-05-06,Marketing,125492,Meets
180,Alexander,Morse,55,Male,1969-02-11,2022-01-11,2025-01-11,HR,179193,Outstanding
181,Tammy,Smith,61,Male,2004-11-14,2021-09-04,2027-06-04,Customer Service,83996,Exceeds
182,Marissa,Lisa,64,Male,1960-09-18,2020-09-04,2027-03-11,HR,13166,Exceeds
183,Jessica,Hancock,43,Male,1981-04-18,2020-07-02,2026-10-22,Finance,36556,Meets
184,Ashley,Gill,51,Male,1973-05-31,2018-02-03,2025-06-04,Marketing,184865,Meets
185,Sarah,Harris,48,Female,1976-05-05,2022-03-07,2028-02-02,Operations,147954,Needs Improvement
186,Lindsey,Gonzalez,52,Female,1972-12-22,2023-08-04,2028-08-10,Engineering,139968,Exceeds
187,Lindsey,Hogan,51,Female,1973-04-03,2020-08-08,2027-02-03,Marketing,156269,Needs Improvement
188,David,Heather,69,Female,1955-08-18,2020-10-01,2027-02-07,Marketing,136804,Exceeds
189,Kelsey,Cobb,34,Female,1990-02-28,2023-03-09,2027-03-02,Customer Service,82484,Needs Improvement
190,Megan,Dodson,56,Male,1968-06-25,2021-01-04,2028-01-07,Marketing,41984,Outstanding
191,Pamela,Harper,60,Female,1964-09-11,2022-06-06,2025-03-01,Sales,181929,Exceeds
192,Andrea,Crosby,20,Male,2004-10-03,2020-01-05,2028-01-02,Engineering,156112,Needs Improvement
193,Dennis,Wagner,28,Male,1996-02-25,2021-12-06,2028-09-06,IT,4133,Needs Improvement
194,Shawn,Warren,56,Female,1968-01-26,2022-08-07,2027-12-02,Operations,139051,Needs Improvement
195,David,Bates,40,Male,1984-10-21,2022-06-03,2026-02-02,IT,47696,Needs Improvement
196,Barry,Cardenas,32,Female,1992-12-23,2020-03-07,2026-02-08,Finance,73114,Outstanding
197,Katherine,Carter,22,Female,2002-10-09,2020-09-07,2027-05-08,Operations,110615,Meets
198,Anthony,Terrell,61,Male,1963-07-22,2018-01-19,2025-07-08,Operations,71851,Below
199,Suarez,Copeland,22,Male,2002-10-20,2023-10-04,2025-11-10,HR,63846,Meets
200,Julia,Watson,45,Female,1979-04-30,2020-06-02,2025-01-04,IT,131988,Exceeds
201,Michael,Lewis,27,Male,1997-12-07,2018-02-12,2025-05-10,Engineering,181717,Needs Improvement
202,Patrick,Lopez,43,Male,1981-11-20,2023-04-10,2027-03-12,Customer Service,162142,Needs Improvement
203,John,Hernandez,33,Male,1991-12-24,2020-02-02,2027-01-04,Engineering,48371,Exceeds
204,Cody,Rodgers,40,Male,1984-04-26,2022-03-10,2025-11-12,HR,89312,Outstanding
205,Gregory,Bryant,24,Female,2000-05-10,2022-10-07,2028-04-09,Operations,162350,Exceeds
206,Jacob,Martin,25,Male,1999-06-19,2023-02-05,2025-01-05,Operations,150988,Exceeds
207,Brandon,Peck,63,Male,1961-02-19,2020-02-12,2026-11-05,HR,59704,Needs Improvement
208,Derek,Simon,42,Male,1982-09-14,2021-02-01,2027-05-07,Customer Service,36609,Exceeds
209,Matthew,Griffin,47,Female,1977-08-19,2023-01-07,2025-08-03,IT,32840,Outstanding
210,Shannon,Anderson,45,Female,1979-07-19,2022-01-05,2025-01-11,Customer Service,89472,Needs Improvement
211,Whitney,Galloway,26,Female,1998-08-20,2022-06-08,2027-01-05,Engineering,137404,Meets
212,Stephen,Adams,59,Male,1931-02-09,2023-01-11,2025-08-06,Finance,101022,Needs Improvement
213,Stacey,Miller,34,Male,1990-06-16,2022-07-10,2027-02-10,IT,126186,Needs Improvement
214,Alexander,Morris,39,Female,1985-04-06,2023-03-03,2025-02-02,IT,146084,Meets
215,Doris,Wong,58,Male,1966-03-18,2020-05-05,2025-08-04,Marketing,182491,Exceeds
216,Ryan,Ramsey,21,Male,2003-04-30,2020-03-05,2027-12-04,IT,122498,Outstanding
217,Reid,Hill,51,Female,1973-06-05,2021-03-03,2027-05-07,HR,152605,Outstanding
218,Shane,Christian,31,Female,1993-09-30,2020-02-10,2025-02-10,Customer Service,179867,Meets
219,Melissa,Benson,27,Male,1997-10-28,2023-09-02,2025-11-04,Operations,100987,Outstanding
220,Christine,Hudson,36,Female,1988-05-23,2021-06-08,2028-02-04,Customer Service,71027,Outstanding
221,William,Clark,30,Male,1994-04-08,2021-04-09,2028-01-03,Engineering,146064,Below
222,Richard,Houston,45,Female,1979-01-12,2023-09-11,2028-01-12,IT,165414,Meets
223,Bianca,Brown,31,Female,1993-04-16,2020-02-07,2027-01-02,Sales,85255,Needs Improvement
224,Laura,Young,26,Male,1999-07-29,2019-05-08,2026-11-17,HR,134045,Needs Improvement
225,Jennifer,Williams,43,Male,1981-04-10,2022-05-12,2027-07-09,Customer Service,106631,Below
226,Wise,Brown,70,Female,1954-03-14,2020-03-12,2027-05-09,HR,134208,Outstanding
227,William,Houston,42,Male,1982-03-09,2020-02-12,2028-06-10,Marketing,199930,Below
228,Brian,Banks,44,Male,1980-09-07,2020-03-03,2027-02-09,Marketing,158903,Below
229,Fuentes,Adams,45,Female,1979-06-28,2022-01-07,2028-06-02,HR,162844,Meets
230,Christian,Payne,65,Male,1959-11-02,2018-09-03,2025-05-10,Customer Service,56853,Outstanding
231,Joseph,Harris,26,Male,1998-06-05,2017-08-04,2028-03-18,Sales,172797,Exceeds
232,Dean,Howard,53,Female,1971-05-29,2020-05-02,2027-01-01,Operations,161339,Exceeds
233,Judith,Mcintyre,44,Male,1980-09-26,2023-05-02,2025-01-01,IT,71819,Needs Improvement
234,Jerry,Gillespie,26,Male,1998-04-26,2021-09-06,2027-04-04,HR,112957,Below
235,Mitchell,Patel,62,Male,1972-10-21,2022-01-07,2028-09-04,Marketing,88281,Outstanding
236,Sarah,West,30,Female,1994-08-07,2023-06-09,2028-06-04,IT,38481,Below
237,Daniel,Coleman,40,Male,1984-01-16,2021-05-02,2025-08-07,Customer Service,81405,Below
238,Veronica,Howard,22,Female,2002-11-02,2022-03-01,2027-09-05,Finance,123158,Exceeds
239,Morgan,Fuentes,50,Male,1974-11-05,2023-09-03,2028-06-28,Marketing,195418,Below
240,William,Fernandez,64,Female,1960-08-17,2022-09-04,2028-07-12,Customer Service,34215,Needs Improvement
241,Brandon,Anderson,41,Male,1983-01-01,2021-02-11,2028-10-04,Engineering,100140,Below
242,Caleb,Miller,66,Male,1958-06-05,2023-08-02,2028-03-04,Operations,51758,Below
243,Leonard,Frank,35,Male,1989-01-13,2021-01-06,2027-06-10,Marketing,84736,Outstanding
244,Jason,Ramos,57,Male,1967-06-22,2023-02-10,2026-05-12,Engineering,131776,Below
245,Christopher,Rose,67,Female,1957-09-03,2021-02-05,2025-08-01,IT,140037,Outstanding
246,Matthew,Horton,64,Female,1960-12-31,2021-03-09,2028-04-11,Sales,139707,Meets
247,David,Smith,51,Female,1973-08-12,2019-03-05,2025-04-29,Marketing,166968,Meets
248,Douglas,Carson,23,Female,2001-01-28,2020-01-04,2027-10-07,Finance,106492,Meets
249,Travis,Yates,63,Male,1961-10-29,2021-01-11,2025-12-06,Customer Service,76625,Below
250,Caleb,Thompson,35,Male,1989-09-26,2021-01-03,2028-02-12,Sales,120416,Outstanding
251,Eugene,Acosta,34,Male,1990-09-20,2022-03-11,2028-02-08,Engineering,141971,Exceeds
252,Brandon,Dorsey,40,Female,1984-06-17,2020-07-04,2026-09-07,Marketing,149728,Below
253,Courtney,Clark,69,Female,1955-12-18,2021-08-06,2028-09-02,HR,52518,Outstanding
254,Jesse,Torres,35,Male,1989-11-28,2020-02-02,2027-03-07,Sales,120691,Below
255,Christie,Jackson,26,Female,1998-02-12,2020-02-05,2027-02-07,Engineering,191062,Outstanding
256,Miguel,Laura,23,Male,2001-12-13,2018-09-06,2025-08-13,HR,186910,Exceeds
257,Samantha,Luna,47,Male,1977-06-04,2022-03-04,2027-02-11,IT,82386,Meets
258,Sherri,Harding,49,Female,1975-10-23,2021-08-10,2025-03-11,Sales,115156,Exceeds
259,April,Willis,35,Male,1989-07-15,2022-02-04,2027-06-06,Sales,38459,Below
260,Smith,Krause,47,Male,1977-07-29,2019-04-14,2028-11-12,HR,57160,Below
261,Deborah,Ramirez,57,Male,1967-03-19,2022-02-04,2025-03-11,Marketing,116599,Exceeds
262,Natalie,Rivers,26,Female,1998-10-06,2020-10-09,2028-07-08,Finance,32026,Below
263,David,Fisher,50,Male,1974-10-02,2022-05-10,2027-04-08,Finance,69744,Exceeds
264,Nicole,Tucker,24,Female,2000-06-05,2022-10-06,2028-07-06,IT,51411,Below
265,Hannah,Castillo,33,Female,1991-09-16,2022-03-10,2028-01-02,Finance,162053,Outstanding
266,Joanne,Johnson,51,Male,1973-04-05,2020-01-07,2027-02-04,Sales,65052,Exceeds
267,Adam,Morales,34,Male,1990-08-15,2020-01-08,2025-02-09,Marketing,30446,Outstanding
268,Karen,Gallagher,26,Male,1998-06-04,2022-01-05,2027-07-12,Marketing,13838,Meets
269,Sherry,Hicks,69,Male,1955-10-21,2022-01-03,2028-02-06,IT,63980,Meets
270,James,Rodriguez,24,Female,2000-06-15,2019-02-06,2027-02-12,Finance,103748,Outstanding
271,Gary,Mcdowell,67,Male,1957-02-18,2021-10-12,2028-03-04,Marketing,62198,Below
272,Kimberly,Wheeler,42,Female,1982-10-27,2023-06-11,2027-05-06,HR,165147,Below
273,Desiree,Wright,32,Male,1992-11-01,2022-12-04,2025-08-05,Engineering,129916,Below
274,Victor,Cooper,42,Female,1982-10-24,2021-02-10,2025-04-01,Engineering,175830,Below
275,Logan,Floyd,33,Female,1991-01-10,2021-07-11,2028-02-09,IT,146452,Below
276,Maria,Todd,41,Male,1983-09-14,2023-07-04,2025-02-11,Customer Service,113778,Needs Improvement
277,Gerald,Weber,44,Female,1980-11-22,2021-02-05,2027-02-07,Finance,45328,Needs Improvement
278,Kathy,Williams,25,Female,1999-06-26,2022-03-08,2025-02-05,Engineering,57197,Outstanding
279,Susan,Johnson,54,Male,1970-06-11,2022-06-11,2025-09-02,Finance,88175,Exceeds
